order_number,customer_name,customer_phone,date,total,payment_status,order_status
6SET-20260824-PUZS,Trevor Simon,0732323232,2026-08-24T10:53:21.871977+00:00,5000,Payment Verified,Completed
6SET-20260824-WSEK,Trevor Simon,0115507150,2026-08-24T03:37:49.764156+00:00,5000,Payment Rejected,Awaiting Payment
6SET-20260824-UVZ3,Trevor Simon,0115507150,2026-08-24T02:58:15.578683+00:00,5000,Pending,Awaiting Payment
6SET-20260824-HWR9,Trevor Simon,0115507150,2026-08-24T02:57:24.630881+00:00,5000,Payment Rejected,Awaiting Payment
6SET-20260824-EZ83,Trevor Simon,0115507150,2026-08-24T02:54:47.523529+00:00,5000,Payment Verified,Completed
6SET-20260823-Q6EN,Trevor Simon,0754657657,2026-08-23T18:25:07.892068+00:00,5000,Pending,Awaiting Payment
6SET-20260823-R3Z9,Trevor Simon,0115507150,2026-08-23T14:25:53.539667+00:00,5000,Pending,Awaiting Payment
6SET-20260823-KH84,Trevor Simon,0115507150,2026-08-23T13:37:46.648737+00:00,5000,Pending,Awaiting Payment
6SET-20260823-VVQ4,Trevor Simon,0754657645,2026-08-23T12:40:27.789193+00:00,7500,Pending,Awaiting Payment
6SET-20260823-AP40,Trevor Simon,0115507149,2026-08-23T11:58:47.914118+00:00,7500,Pending,Awaiting Payment
6SET-20260822-PC11,EDWARD,0764245667,2026-08-22T20:53:03.147027+00:00,2500,Pending,Awaiting Payment
6SET-20260822-IEZH,Trevor Simon,0712345678,2026-08-22T20:51:03.873191+00:00,2500,Pending,Awaiting Payment
6SET-20260822-9RDU,Trevor Simon,0115507149,2026-08-22T20:50:04.934807+00:00,2500,Pending,Awaiting Payment
6SET-20260822-4637,TESTING GUY 8,0754657655,2026-08-22T20:14:16.03357+00:00,5000,Pending,Awaiting Payment
6SET-20260822-NLTC,TESTING33,0764524384,2026-08-22T18:40:49.820026+00:00,2500,Pending,Awaiting Payment
6SET-20260822-HVXE,Trevor Simon,0754657645,2026-08-22T16:15:04.166294+00:00,10000,Pending,Awaiting Payment
6SET-20260822-VC00,Trevor Simon,0115507150,2026-08-22T16:14:17.904094+00:00,10000,Pending,Awaiting Payment
6SET-20260822-G5KL,Trevor Simon,0754657655,2026-08-22T15:45:31.76103+00:00,10000,Pending,Awaiting Payment
6SET-20260822-YQ7N,Trevor Simon,0115507149,2026-08-22T15:32:07.522991+00:00,4500,Pending,Awaiting Payment
6SET-20260822-K35R,Trevor Simon,0754657655,2026-08-22T15:26:52.466549+00:00,4500,Pending,Awaiting Payment
6SET-20260822-5V4U,Trevor Simon,0754657655,2026-08-22T15:22:17.944015+00:00,4500,Pending,Awaiting Payment
